Institucion,Promedio,Minima,Maxima,Desviación,Moda,Tipo,Familia
EVO,2.03,1.77,3.0,0.27,2.08,Credito,Misceláneas
BBVA Bancomer,2.05,0.0,2.25,0.38,2.25,Credito,Misceláneas
Getnet,2.21,1.25,3.5,0.4,2.5,Credito,Misceláneas
Fiserv,2.28,1.78,3.0,0.36,1.8,Credito,Misceláneas
Banjército,2.38,2.0,2.5,0.19,2.5,Credito,Misceláneas
Bzpay,2.46,2.0,3.3,0.4,2.0,Credito,Misceláneas
Smart Payment,2.6,2.6,2.6,0.0,2.6,Credito,Misceláneas
Inbursa,2.77,0.0,2.95,0.31,2.95,Credito,Misceláneas
Velpay,2.9,2.9,2.9,0.0,2.9,Credito,Misceláneas
Cyborgbeat,2.9,2.9,2.9,0.0,2.9,Credito,Misceláneas
EMS,2.96,1.6,3.95,0.73,3.95,Credito,Misceláneas
OEL,3.05,2.27,3.7,0.58,2.5,Credito,Misceláneas
Espiral,3.37,2.99,3.5,0.22,3.5,Credito,Misceláneas
PayU Digicuenta,3.47,2.9,3.5,0.11,3.5,Credito,Misceláneas
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Misceláneas
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Misceláneas
Pocket,3.5,1.8,3.5,0.07,3.5,Credito,Misceláneas
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Misceláneas
Clip,3.6,3.0,3.6,0.0,3.6,Credito,Misceláneas
Paypal,3.65,3.65,3.65,0.0,3.65,Credito,Misceláneas
Banregio,1.16,0.03,2.3,0.85,2.3,Credito,Médicos y dentistas
Multiva,1.2,0.7,1.85,0.33,0.98,Credito,Médicos y dentistas
Banorte,1.24,0.0,2.38,0.63,0.75,Credito,Médicos y dentistas
BBVA Bancomer,1.25,0.0,1.95,0.17,1.2,Credito,Médicos y dentistas
Afirme,1.4,0.49,1.8,0.43,1.7,Credito,Médicos y dentistas
