Familia,Tipo,Institucion,Promedio,Minima,Maxima,Desviación,Moda
Comida rápida,Credito,Banregio,1.92,1.2,2.9,0.61,1.3
Comida rápida,Credito,Mifel,2.0,1.17,2.8,0.41,2.5
Comida rápida,Credito,Intercam Banco,2.0,1.45,2.9,0.43,2.25
Comida rápida,Credito,Adyen,2.07,2.0,2.15,0.08,2.0
Comida rápida,Credito,Multiva,2.09,1.25,2.85,0.41,2.27
Comida rápida,Credito,EVO,2.1,1.77,3.03,0.15,2.18
Comida rápida,Credito,Banorte,2.12,1.17,3.11,0.38,1.99
Comida rápida,Credito,Getnet,2.13,1.3,3.5,0.33,2.0
Comida rápida,Credito,BBVA Bancomer,2.18,1.17,2.31,0.19,2.25
Comida rápida,Credito,Dlocal,2.2,2.2,2.2,0.0,2.2
Comida rápida,Credito,Smart Payment,2.22,1.95,2.4,0.12,2.2
Comida rápida,Credito,Bansí,2.25,2.2,2.5,0.12,2.2
Comida rápida,Credito,Fiserv,2.28,1.78,3.0,0.24,2.35
Comida rápida,Credito,Inbursa,2.33,1.28,2.45,0.23,2.45
Comida rápida,Credito,Autofin,2.37,1.17,2.8,0.51,2.25
Comida rápida,Credito,Bajío,2.38,1.2,4.0,0.55,2.9
Comida rápida,Credito,Bzpay,2.4,1.8,3.35,0.49,2.1
Comida rápida,Credito,Velpay,2.44,1.9,3.1,0.27,2.3
Comida rápida,Credito,Azteca,2.49,1.5,2.5,0.12,2.5
Comida rápida,Credito,OEL,2.99,1.9,3.6,0.53,3.6
Comida rápida,Credito,Paypal,3.13,3.13,3.13,0.0,3.13
Comida rápida,Credito,Espiral,3.32,2.99,3.5,0.25,3.5
Comida rápida,Credito,PayU Digicuenta,3.41,2.0,3.5,0.3,3.5
Comida rápida,Credito,Pago Fácil,3.42,3.2,3.5,0.15,3.5
Comida rápida,Credito,Pocket,3.42,1.79,3.5,0.32,3.5
Comida rápida,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Comida rápida,Credito,Stripe,3.6,3.6,3.6,0.0,3.6
Comida rápida,Credito,Clip,3.6,2.0,3.6,0.0,3.6
Comida rápida,Credito,EMS,3.95,3.95,3.95,0.0,3.95
Comida rápida,Debito,Afirme,1.24,0.9,1.65,0.18,1.3
Comida rápida,Debito,BBVA Bancomer,1.25,0.78,1.35,0.16,1.35
Comida rápida,Debito,Inbursa,1.42,1.02,1.45,0.08,1.45
Comida rápida,Debito,EVO,1.49,1.18,3.1,0.1,1.5
Comida rápida,Debito,Banregio,1.54,0.76,2.9,0.6,2.4
Comida rápida,Debito,Dlocal,1.58,1.3,1.95,0.33,1.5
Comida rápida,Debito,Autofin,1.61,0.75,2.1,0.52,1.4
Comida rápida,Debito,Banorte,1.63,0.75,2.45,0.36,1.99
Comida rápida,Debito,Multiva,1.68,0.96,2.41,0.4,1.32
Comida rápida,Debito,Mifel,1.73,0.95,2.5,0.48,2.5
Comida rápida,Debito,Getnet,1.73,1.15,3.5,0.39,1.65
Comida rápida,Debito,Smart Payment,1.77,1.45,2.4,0.27,1.6
Comida rápida,Debito,Intercam Banco,1.81,1.0,2.5,0.43,1.45
Comida rápida,Debito,Fiserv,1.94,1.15,2.69,0.43,1.55
Comida rápida,Debito,Velpay,2.0,1.3,3.1,0.56,1.3
Comida rápida,Debito,Adyen,2.0,1.7,2.3,0.3,1.7
Comida rápida,Debito,Bzpay,2.03,1.6,3.3,0.39,1.7
Comida rápida,Debito,Bajío,2.19,0.9,4.0,0.65,2.4
Comida rápida,Debito,Bansí,2.29,2.2,2.5,0.14,2.2
Comida rápida,Debito,Azteca,2.46,1.1,2.5,0.17,2.5
Comida rápida,Debito,OEL,2.95,1.5,3.6,0.61,3.6
Comida rápida,Debito,Paypal,3.13,3.13,3.13,0.0,3.13
Comida rápida,Debito,EMS,3.27,1.9,3.95,1.18,3.95
Comida rápida,Debito,Espiral,3.32,2.99,3.5,0.25,3.5
Comida rápida,Debito,Pocket,3.4,1.15,3.5,0.41,3.5
Comida rápida,Debito,Pago Fácil,3.42,3.2,3.5,0.15,3.5
Comida rápida,Debito,PayU Digicuenta,3.42,2.0,3.5,0.27,3.5
Comida rápida,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Comida rápida,Debito,Stripe,3.6,3.6,3.6,0.0,3.6
Comida rápida,Debito,Clip,3.6,2.0,3.6,0.0,3.6
Educación básica,Credito,Banregio,1.03,0.1,2.3,0.82,0.13
Educación básica,Credito,Banorte,1.09,0.0,1.79,0.45,0.75
Educación básica,Credito,Multiva,1.16,0.7,1.6,0.31,1.6
Educación básica,Credito,Afirme,1.3,0.0,1.7,0.48,1.7
Educación básica,Credito,BBVA Bancomer,1.46,0.0,1.88,0.29,1.2
Educación básica,Credito,Inbursa,1.55,0.07,1.8,0.45,1.8
Educación básica,Credito,Bajío,1.61,0.4,2.3,0.4,1.2
Educación básica,Credito,Mifel,1.85,0.0,2.8,0.63,2.5
Educación básica,Credito,EVO,1.85,1.8,2.53,0.11,1.8
Educación básica,Credito,Getnet,2.13,1.15,3.5,0.33,2.5
Educación básica,Credito,Bzpay,2.16,1.29,3.3,0.53,2.2
Educación básica,Credito,Fiserv,2.26,1.8,2.9,0.3,2.0
Educación básica,Credito,Banjército,2.35,1.9,2.5,0.3,2.5
Educación básica,Credito,Azteca,2.36,1.8,2.5,0.28,2.5
Educación básica,Credito,Bansí,2.5,2.5,2.5,0.0,2.5
Educación básica,Credito,Ebanx,2.71,2.6,2.83,0.13,2.6
Educación básica,Credito,EMS,2.8,2.8,2.8,0.0,2.8
Educación básica,Credito,Espiral,3.28,2.99,3.5,0.27,3.5
Educación básica,Credito,PayU Digicuenta,3.48,2.0,3.5,0.12,3.5
Educación básica,Credito,Pocket,3.48,1.79,3.5,0.13,3.5
Educación básica,Credito,Paypal,3.5,1.92,3.65,0.07,3.5
Educación básica,Credito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Educación básica,Credito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Educación básica,Credito,Stripe,3.6,2.55,3.6,0.02,3.6
Educación básica,Credito,Clip,3.6,3.6,3.6,0.0,3.6
Educación básica,Debito,Banregio,0.72,0.1,1.7,0.55,0.39
Educación básica,Debito,Inbursa,1.18,0.85,1.35,0.16,1.35
Educación básica,Debito,EVO,1.33,1.15,2.5,0.09,1.3
Educación básica,Debito,Getnet,1.52,1.15,3.5,0.42,1.15
Educación básica,Debito,Mifel,1.68,0.0,2.5,0.64,2.5
Educación básica,Debito,Fiserv,1.83,1.18,2.9,0.36,1.7
Educación básica,Debito,Bzpay,1.98,1.19,2.9,0.56,2.2
Educación básica,Debito,Ebanx,2.2,2.1,2.29,0.1,2.1
Educación básica,Debito,Azteca,2.32,1.8,2.5,0.26,2.5
Educación básica,Debito,Bansí,2.5,2.5,2.5,0.0,2.5
Educación básica,Debito,EMS,2.8,2.8,2.8,0.0,2.8
Educación básica,Debito,Espiral,3.28,2.99,3.5,0.27,3.5
Educación básica,Debito,PayU Digicuenta,3.48,2.7,3.5,0.09,3.5
Educación básica,Debito,Pocket,3.48,1.2,3.5,0.18,3.5
Educación básica,Debito,Paypal,3.5,1.92,3.65,0.07,3.5
Educación básica,Debito,Pago Fácil,3.5,3.5,3.5,0.0,3.5
Educación básica,Debito,Sr. Pago,3.5,3.5,3.5,0.0,3.5
Educación básica,Debito,Stripe,3.6,2.55,3.6,0.02,3.6
Educación básica,Debito,Clip,3.6,3.6,3.6,0.0,3.6
Entretenimiento,Credito,Banregio,1.7,1.17,2.66,0.55,1.31
Entretenimiento,Credito,Intercam Banco,1.78,1.6,2.5,0.19,1.7
Entretenimiento,Credito,Adyen,1.8,1.8,1.8,0.0,1.8
Entretenimiento,Credito,BBVA Bancomer,1.9,1.2,2.07,0.23,2.07
Entretenimiento,Credito,Banorte,1.92,1.17,2.37,0.29,2.27
Entretenimiento,Credito,Afirme,1.96,1.19,3.9,0.4,2.4
Entretenimiento,Credito,Multiva,1.97,1.3,2.82,0.37,2.0
Entretenimiento,Credito,Ebanx,2.0,2.0,2.0,0.0,2.0
Entretenimiento,Credito,EVO,2.01,1.8,2.9,0.13,1.95
Entretenimiento,Credito,Autofin,2.05,1.55,2.3,0.43,2.3
Entretenimiento,Credito,Mifel,2.07,1.4,2.8,0.4,2.5
Entretenimiento,Credito,Getnet,2.15,1.18,3.5,0.34,2.3
Entretenimiento,Credito,Inbursa,2.16,1.42,2.35,0.26,2.35
Entretenimiento,Credito,Azteca,2.26,1.56,2.6,0.27,2.5
Entretenimiento,Credito,Fiserv,2.28,1.78,3.0,0.3,2.5
Entretenimiento,Credito,Velpay,2.3,2.3,2.3,0.0,2.3
Entretenimiento,Credito,Bzpay,2.37,1.82,3.35,0.47,2.3
Entretenimiento,Credito,Bajío,2.45,1.2,4.0,0.53,2.9
Entretenimiento,Credito,Bansí,2.5,2.5,2.5,0.0,2.5
Entretenimiento,Credito,Smart Payment,2.95,2.95,2.95,0.0,2.95
Entretenimiento,Credito,Mercado Pago,3.2,1.69,3.5,0.37,3.49
Entretenimiento,Credito,EMS,3.23,1.6,3.95,1.06,3.95
Entretenimiento,Credito,Espiral,3.26,2.99,3.5,0.26,3.5
Entretenimiento,Credito,Pago Fácil,3.39,3.0,3.5,0.22,3.5
Entretenimiento,Credito,Pocket,3.46,1.79,3.5,0.21,3.5
Entretenimiento,Credito,PayU Digicuenta,3.47,1.8,3.5,0.16,3.5
Entretenimiento,Credito,Cyborgbeat,3.5,3.5,3.5,0.0,3.5
